2022-12-21 12:07:32,167 - root - INFO - Epoch 29; loss: 11.899272918701172; CER: 0.8012819886207581; WER: 1.0; val_loss: 19.74714469909668; val_CER: 0.9384615421295166; val_WER: 1.0
2022-12-21 12:07:35,752 - root - INFO - Epoch 30; loss: 11.50697135925293; CER: 0.7523504495620728; WER: 1.0; val_loss: 15.931753158569336; val_CER: 0.8711538314819336; val_WER: 1.0
2022-12-21 12:07:39,109 - root - INFO - Epoch 31; loss: 11.063079833984375; CER: 0.7235042452812195; WER: 1.0; val_loss: 20.72257423400879; val_CER: 0.9211539030075073; val_WER: 1.0
2022-12-21 12:07:42,370 - root - INFO - Epoch 32; loss: 10.663286209106445; CER: 0.686965823173523; WER: 1.0; val_loss: 18.903289794921875; val_CER: 0.8961538076400757; val_WER: 1.0
2022-12-21 12:07:45,648 - root - INFO - Epoch 33; loss: 10.180482864379883; CER: 0.648931622505188; WER: 0.997863233089447; val_loss: 19.08062744140625; val_CER: 0.8903846144676208; val_WER: 1.0
2022-12-21 12:07:48,953 - root - INFO - Epoch 34; loss: 9.736443519592285; CER: 0.6309829950332642; WER: 0.9967948794364929; val_loss: 19.637834548950195; val_CER: 0.8961538076400757; val_WER: 1.0
2022-12-21 12:07:52,290 - root - INFO - Epoch 35; loss: 9.28663158416748; CER: 0.5978633165359497; WER: 0.9967948794364929; val_loss: 18.90738296508789; val_CER: 0.8826923370361328; val_WER: 1.0
2022-12-21 12:07:55,769 - root - INFO - Epoch 36; loss: 8.927215576171875; CER: 0.5709401965141296; WER: 0.9967948794364929; val_loss: 15.64948558807373; val_CER: 0.8250000476837158; val_WER: 1.0
2022-12-21 12:07:59,087 - root - INFO - Epoch 37; loss: 8.552239418029785; CER: 0.5500000715255737; WER: 0.995726466178894; val_loss: 18.03893280029297; val_CER: 0.8634615540504456; val_WER: 1.0
2022-12-21 12:08:02,372 - root - INFO - Epoch 38; loss: 8.228479385375977; CER: 0.5378205180168152; WER: 0.9903846383094788; val_loss: 21.216012954711914; val_CER: 0.8980768918991089; val_WER: 1.0
2022-12-21 12:08:05,662 - root - INFO - Epoch 39; loss: 7.885900497436523; CER: 0.507478654384613; WER: 0.9829059839248657; val_loss: 23.187538146972656; val_CER: 0.9211539030075073; val_WER: 1.0
2022-12-21 12:08:08,986 - root - INFO - Epoch 40; loss: 7.527044773101807; CER: 0.47991451621055603; WER: 0.9754273295402527; val_loss: 19.905296325683594; val_CER: 0.875; val_WER: 1.0
2022-12-21 12:08:12,203 - root - INFO - Epoch 41; loss: 7.134724140167236; CER: 0.46089741587638855; WER: 0.9754273295402527; val_loss: 23.393817901611328; val_CER: 0.9096152782440186; val_WER: 1.0
2022-12-21 12:08:15,477 - root - INFO - Epoch 42; loss: 6.857456207275391; CER: 0.45085468888282776; WER: 0.9743589758872986; val_loss: 19.654279708862305; val_CER: 0.875; val_WER: 1.0
2022-12-21 12:08:18,817 - root - INFO - Epoch 43; loss: 6.494290828704834; CER: 0.4245726764202118; WER: 0.9594017267227173; val_loss: 23.626663208007812; val_CER: 0.9096153974533081; val_WER: 1.0
2022-12-21 12:08:22,122 - root - INFO - Epoch 44; loss: 6.114710807800293; CER: 0.38141030073165894; WER: 0.9358974099159241; val_loss: 31.257543563842773; val_CER: 0.9365384578704834; val_WER: 1.0
2022-12-21 12:08:25,486 - root - INFO - Epoch 45; loss: 5.934213161468506; CER: 0.3888889253139496; WER: 0.9337607026100159; val_loss: 26.387561798095703; val_CER: 0.9230769276618958; val_WER: 1.0
2022-12-21 12:08:28,898 - root - INFO - Epoch 46; loss: 5.525989532470703; CER: 0.34871792793273926; WER: 0.9113247990608215; val_loss: 28.23232078552246; val_CER: 0.9153845906257629; val_WER: 1.0
2022-12-21 12:08:32,233 - root - INFO - Epoch 47; loss: 5.307488441467285; CER: 0.343589723110199; WER: 0.9049145579338074; val_loss: 23.31165313720703; val_CER: 0.892307698726654; val_WER: 1.0
2022-12-21 12:08:35,584 - root - INFO - Epoch 48; loss: 5.059931755065918; CER: 0.3348291218280792; WER: 0.8963675498962402; val_loss: 20.73820686340332; val_CER: 0.8692306876182556; val_WER: 1.0
2022-12-21 12:08:39,045 - root - INFO - Epoch 49; loss: 4.78210973739624; CER: 0.3057692050933838; WER: 0.8557692170143127; val_loss: 28.936105728149414; val_CER: 0.9288461208343506; val_WER: 1.0
